Issue Key,Summary,Description,Epic,Module,Priority,Status,Acceptance Criteria,Dependencies
TSK-101,Resident Registration with Compound Code Validation,Implement resident registration requiring Compound Code apartment and phone with 6-digit email OTP generation,EPC-01,taska-api / taska-resident,Critical,Done,Validates compound code; generates 6-digit OTP; sends OTPMail; returns 201 Created,None
TSK-102,Email OTP Verification & JWT Bearer Token Issuance,Provide 6-digit OTP verification endpoint and client screen returning ASP.NET Core JWT token,EPC-01,taska-api / taska-resident,Critical,Done,Validates OTP expiration; clears OTP fields; issues JWT Bearer token,TSK-101
TSK-103,Role-Based JWT Bearer Authentication Architecture,Configure ASP.NET Core JWT Bearer authentication with distinct claims and policies for Residents and Technicians,EPC-01,taska-api,Critical,In Progress,"Enforces [Authorize(Roles = ""..."")] policies; returns 401/403 on unauthorized access",None
TSK-104,Technician Multi-Identifier Login,Allow technicians to login via either registered phone number or email with password,EPC-01,taska-api / taska-technician,High,In Progress,Validates phone or email against database; issues technician JWT token,TSK-103
TSK-201,Residential Compound Database Schema & Management CRUD,Create compounds table and admin interface to manage gated community entities,EPC-02,taska-api / admin-react,High,Done,Enforces unique compound code; provides full CRUD operations in admin,None
TSK-202,Service Categories Catalog & Dynamic Base Pricing,Implement service_categories table with base pricing icons and sort order,EPC-02,taska-api / admin-react,High,To Do,Returns categories ordered by sort_order; allows admin to modify base price and icon,None
TSK-301,Maintenance Request Submission with Photo Upload & Geolocation,Allow residents to submit maintenance requests with images coordinates and urgency,EPC-03,taska-api / taska-resident,Critical,In Progress,Enforces single active order policy; saves image to public/orders; emits NewOrderEvent over SignalR,TSK-102|TSK-202
TSK-302,Technician Reverse Bidding Marketplace,Allow online compound technicians to place monetary bids with notes on pending orders,EPC-03,taska-api / taska-technician,Critical,To Do,Enforces unique technician bid per order; emits NewBidEvent over SignalR to resident,TSK-301
TSK-303,Bid Acceptance & Automatic Competitor Dismissal,Resident accepts a technician bid updating order status to accepted and rejecting other bids,EPC-03,taska-api / taska-resident,Critical,To Do,Atomic EF Core transaction updates order price and technician; marks other bids rejected; emits OrderAcceptedEvent,TSK-302
TSK-304,Order Cancellation Flow with Audit Trail,Enable residents to cancel orders with recorded cancellation reason in status history,EPC-03,taska-api / taska-resident,Medium,To Do,Validates cancellable state; logs cancellation reason; notifies technician over SignalR,TSK-301
