Card Title,Issue Key,List (Status),Epic,Module,Priority,Description,Acceptance Criteria,Dependencies,Labels
Resident Registration with Compound Code Validation,TSK-101,Done,EPC-01,taska-api / taska-resident,Critical,Implement resident registration requiring Compound Code apartment and phone with 6-digit email OTP generation,Validates compound code; generates 6-digit OTP; sends OTPMail; returns 201 Created,None,"EPC-01,Critical"
Email OTP Verification & JWT Bearer Token Issuance,TSK-102,Done,EPC-01,taska-api / taska-resident,Critical,Provide 6-digit OTP verification endpoint and client screen returning ASP.NET Core JWT token,Validates OTP expiration; clears OTP fields; issues JWT Bearer token,TSK-101,"EPC-01,Critical"
Role-Based JWT Bearer Authentication Architecture,TSK-103,In Progress,EPC-01,taska-api,Critical,Configure ASP.NET Core JWT Bearer authentication with distinct claims and policies,Enforces Authorize policies; returns 401/403 on unauthorized access,None,"EPC-01,Critical"
Technician Multi-Identifier Login,TSK-104,Done,EPC-01,taska-api / taska-technician,High,Allow technicians to login via registered phone number or email with password,Validates phone or email against database; issues technician JWT token,TSK-103,"EPC-01,High"
Residential Compound Database Schema & Management CRUD,TSK-201,Done,EPC-02,taska-api / admin-react,High,Create compounds table and admin interface to manage gated community entities,Enforces unique compound code; provides full CRUD operations in admin,None,"EPC-02,High"
Service Categories Catalog & Dynamic Base Pricing,TSK-202,To Do,EPC-02,taska-api / admin-react,High,Implement service_categories table with base pricing icons and sort order,Returns categories ordered by sort_order; allows admin to modify base price and icon,None,"EPC-02,High"
Maintenance Request Submission with Photo Upload & Geolocation,TSK-301,Done,EPC-03,taska-api / taska-resident,Critical,Allow residents to submit maintenance requests with images coordinates and urgency,Enforces single active order policy; saves image; emits NewOrderEvent over SignalR,TSK-102|TSK-202,"EPC-03,Critical"
Technician Reverse Bidding Marketplace,TSK-302,Done,EPC-03,taska-api / taska-technician,Critical,Allow online compound technicians to place monetary bids with notes on pending orders,Enforces unique technician bid per order; emits NewBidEvent over SignalR to resident,TSK-301,"EPC-03,Critical"
Bid Acceptance & Automatic Competitor Dismissal,TSK-303,Done,EPC-03,taska-api / taska-resident,Critical,Resident accepts a technician bid updating order status to accepted and rejecting other bids,Atomic EF Core transaction; marks other bids rejected; emits OrderAcceptedEvent,TSK-302,"EPC-03,Critical"
Order Cancellation Flow with Audit Trail,TSK-304,To Do,EPC-03,taska-api / taska-resident,Medium,Enable residents to cancel orders with recorded cancellation reason in status history,Validates cancellable state; logs cancellation reason; notifies technician over SignalR,TSK-301,"EPC-03,Medium"
Technician Online/Offline Duty Status Toggle,TSK-401,Done,EPC-04,taska-api / taska-technician,High,Implement duty status switch to control technician dispatch availability,Toggles status between online and offline; filters compound broadcast recipients,TSK-104,"EPC-04,High"
Background GPS Geolocation Tracking & Movement Logging,TSK-402,Done,EPC-04,taska-api / taska-technician,Critical,Stream technician GPS coordinates via watchPosition and log movement to database,Updates technician coordinates; records movement log; broadcasts LocationUpdated,TSK-401,"EPC-04,Critical"
Sequential Job Execution State Machine,TSK-403,In Progress,EPC-04,taska-api / taska-technician,Critical,Enforce order state transitions (accepted to arrived to in_progress to completed),Validates state machine transitions; logs timestamps; generates pending payment,TSK-303,"EPC-04,Critical"
ASP.NET Core SignalR Real-Time Hubs Setup & JWT Authorization,TSK-501,To Do,EPC-05,taska-api,Critical,Configure SignalR Hubs with JWT Bearer query token authorization,Initializes SignalR endpoints; verifies JWT on handshakes; manages client groups,None,"EPC-05,Critical"
In-Order Live Chat between Resident and Technician,TSK-502,To Do,EPC-05,taska-api / taska-resident / taska-technician,High,Provide real-time messaging interface within active orders via SignalR OrderHub,Restricts messaging to order participants; broadcasts ChatMessage over SignalR,TSK-501,"EPC-05,High"
Automated Invoice Generation & Payment Simulation,TSK-601,To Do,EPC-06,taska-api / taska-resident / admin-react,High,Generate payment records on completion and support Cash and Visa payment flows,Generates transaction IDs; handles simulated payment success and failure; supports admin refund,TSK-403,"EPC-06,High"
Customer Satisfaction 5-Star Rating & Review Engine,TSK-602,To Do,EPC-06,taska-api / taska-resident / admin-react,Medium,Allow residents to submit 1-5 star ratings and recalculate technician overall average,Enforces 1-5 star range; recalculates technician average rating; prevents duplicate rating,TSK-601,"EPC-06,Medium"
Executive KPI Operations Dashboard,TSK-701,Done,EPC-07,admin-react / taska-api,High,Build administrative dashboard showing real-time counters and Recharts analytics,Displays stats cards; listens to WebSocket status events; renders revenue and status charts,None,"EPC-07,High"
Real-Time Drag-and-Drop Orders Kanban Board,TSK-702,Done,EPC-07,admin-react,High,Implement live Kanban dispatch board with status lanes and card detail inspection,Columns update live over ASP.NET Core SignalR; supports drag-and-drop state transition,TSK-701|TSK-501,"EPC-07,High"
Technician & Resident Directory Management,TSK-703,Done,EPC-07,admin-react / taska-api,Medium,Provide administration tables to manage technicians and residents across compounds,Supports search and compound filter; allows technician creation and deletion,None,"EPC-07,Medium"
Resident Support Widget & Ticket Creation,TSK-801,Done,EPC-08,taska-resident / taska-api,High,Implement floating support chat widget with single open ticket constraint,Enforces single active ticket per resident; broadcasts TicketCreated over SupportHub,TSK-102,"EPC-08,High"
Admin Helpdesk Dispatch Desk & Ticket Resolution,TSK-802,Done,EPC-08,admin-react / taska-api,High,Administrative interface to respond to support tickets and close cases,Real-time two-way messaging on SupportHub; resolution rating prompt,TSK-801,"EPC-08,High"
Database-Driven Translation Schema & Public API,TSK-901,To Do,EPC-09,taska-api,High,Store translation key-values in MySQL and serve via public API endpoint,Enforces unique key per language; serves translation JSON dictionary,None,"EPC-09,High"
Client Bilingual Context & RTL Layout Engine,TSK-902,Done,EPC-09,taska-resident / taska-technician / admin-react,High,Support English and Arabic switching with automatic RTL layout mirroring,Toggles dir attribute between ltr and rtl; persists language selection,TSK-901,"EPC-09,High"
Automated Translation Key Seeder & Machine Sync,TSK-903,Backlog,EPC-09,taska-api,Low,Tooling to automatically discover untranslated keys in frontend and seed database,Parses frontend codebase for translation keys and creates database records,TSK-901,"EPC-09,Low"
Client Health Check & Automatic Offline Sandbox Mode,TSK-1001,Done,EPC-10,taska-resident / taska-technician,Medium,Detect API availability and fall back to localStorage mock sandbox when offline,Pings categories endpoint; falls back to sandbox.ts without crashing,None,"EPC-10,Medium"
Voice Message Notes in Order Chat,TSK-1101,Backlog,EPC-05,taska-api / All Clients,Low,Enable audio voice clip recording and playback in resident-technician chat,Audio recording via MediaRecorder API; storage in S3/local static disk,TSK-502,"EPC-05,Low"
Compound Security Gate Pass QR Code Generator,TSK-1102,Backlog,EPC-04,taska-api / taska-technician,Medium,Generate digital entry QR code for assigned technician at compound gate,Generates time-limited QR code linked to order for compound gate security scanner,TSK-403,"EPC-04,Medium"
