Issue Type,Summary,Description,Priority,Status,Component,Epic Name,Epic Link,Labels,Acceptance Criteria,Depends On
Epic,Role-Based JWT Bearer Authentication & Verification,Compound-verified resident registration OTP email technician credentials JWT Bearer RBAC,Critical,To Do,taska-api,,EPC-01,auth jwt,,
Epic,Compound & Service Catalog Infrastructure,EF Core 8 entities gated compound records service categories base fees and icon assignments,High,To Do,taska-api admin-react,,EPC-02,catalog,,
Epic,Resident Order Creation & Bidding Marketplace,Maintenance request creation image attachments coordinate selection and reverse bidding,Critical,To Do,taska-api taska-resident,,EPC-03,order bidding,,
Epic,Technician Operations & Live GPS Tracking,Duty status toggle GPS location streaming and step-by-step order progression,Critical,To Do,taska-api taska-technician,,EPC-04,gps tracking,,
Epic,Real-Time SignalR Hubs Infrastructure,ASP.NET Core SignalR Hubs status events and chat,Critical,To Do,taska-api,,EPC-05,signalr,,
Epic,Billing Simulated Payments & Rating Engine,Cash Visa payment processing automated rating aggregation and refund audit,High,To Do,taska-api taska-resident admin-react,,EPC-06,billing payment,,
Epic,Admin Operations Console & Kanban Dispatch,Executive KPI dashboard Recharts analytics drag-and-drop Kanban board,High,To Do,admin-react taska-api,,EPC-07,admin dashboard,,
Epic,In-App Customer Support Helpdesk,Dedicated support chat widget admin dispatch desk and ticket resolution rating,High,To Do,taska-api taska-resident admin-react,,EPC-08,support helpdesk,,
Epic,Dynamic Bilingual Localization (EN/AR),Database-driven translations RTL layout flip and user language persistence,High,To Do,taska-api,,EPC-09,i18n rtl,,
Epic,System Resilience & Offline Sandbox Mode,Automatic API health check and localStorage sandbox simulator,Medium,To Do,taska-resident taska-technician,,EPC-10,offline resilience,,
Task,Resident Registration with Compound Code Validation,Implement resident registration requiring Compound Code apartment and phone with 6-digit email OTP generation,Critical,Done,taska-api taska-resident,Role-Based JWT Bearer Authentication & Verification,EPC-01,auth registration,Validates compound code; generates 6-digit OTP; sends OTPMail; returns 201 Created,
Task,Email OTP Verification & JWT Bearer Token Issuance,Provide 6-digit OTP verification endpoint and client screen returning ASP.NET Core JWT token,Critical,Done,taska-api taska-resident,Role-Based JWT Bearer Authentication & Verification,EPC-01,auth jwt,Validates OTP expiration; clears OTP fields; issues JWT Bearer token,TSK-101
Task,Role-Based JWT Bearer Authentication Architecture,Configure ASP.NET Core JWT Bearer authentication with distinct claims and policies,Critical,Done,taska-api,Role-Based JWT Bearer Authentication & Verification,EPC-01,auth rbac,Enforces Authorize policies; returns 401/403 on unauthorized access,
Task,Technician Multi-Identifier Login,Allow technicians to login via registered phone number or email with password,High,Done,taska-api taska-technician,Role-Based JWT Bearer Authentication & Verification,EPC-01,auth login,Validates phone or email against database; issues technician JWT token,TSK-103
Task,Residential Compound Database Schema & Management CRUD,Create compounds table and admin interface to manage gated community entities,High,Done,taska-api admin-react,Compound & Service Catalog Infrastructure,EPC-02,compound database,Enforces unique compound code; provides full CRUD operations in admin,
Task,Service Categories Catalog & Dynamic Base Pricing,Implement service_categories table with base pricing icons and sort order,High,Done,taska-api admin-react,Compound & Service Catalog Infrastructure,EPC-02,catalog pricing,Returns categories ordered by sort_order; allows admin to modify base price and icon,
Task,Maintenance Request Submission with Photo Upload & Geolocation,Allow residents to submit maintenance requests with images coordinates and urgency,Critical,Done,taska-api taska-resident,Resident Order Creation & Bidding Marketplace,EPC-03,order upload geolocation,Enforces single active order policy; saves image; emits NewOrderEvent over SignalR,TSK-102|TSK-202
Task,Technician Reverse Bidding Marketplace,Allow online compound technicians to place monetary bids with notes on pending orders,Critical,Done,taska-api taska-technician,Resident Order Creation & Bidding Marketplace,EPC-03,bidding marketplace,Enforces unique technician bid per order; emits NewBidEvent over SignalR,TSK-301
Task,Bid Acceptance & Automatic Competitor Dismissal,Resident accepts a technician bid updating order status to accepted and rejecting other bids,Critical,Done,taska-api taska-resident,Resident Order Creation & Bidding Marketplace,EPC-03,bid acceptance,Atomic EF Core transaction; marks other bids rejected; emits OrderAcceptedEvent,TSK-302
Task,Order Cancellation Flow with Audit Trail,Enable residents to cancel orders with recorded cancellation reason in status history,Medium,Testing / QA,taska-api taska-resident,Resident Order Creation & Bidding Marketplace,EPC-03,order cancellation,Validates cancellable state; logs cancellation reason; notifies technician,TSK-301
Task,Technician Online/Offline Duty Status Toggle,Implement duty status switch to control technician dispatch availability,High,Done,taska-api taska-technician,Technician Operations & Live GPS Tracking,EPC-04,duty status,Toggles status between online and offline; filters compound broadcast recipients,TSK-104
Task,Background GPS Geolocation Tracking & Movement Logging,Stream technician GPS coordinates via watchPosition and log movement to database,Critical,Done,taska-api taska-technician,Technician Operations & Live GPS Tracking,EPC-04,gps tracking,Updates technician coordinates; records movement log; broadcasts LocationUpdated,TSK-401
Task,Sequential Job Execution State Machine,Enforce order state transitions (accepted to arrived to in_progress to completed),Critical,Done,taska-api taska-technician,Technician Operations & Live GPS Tracking,EPC-04,state machine,Validates state machine transitions; logs timestamps; generates pending payment,TSK-303
Task,ASP.NET Core SignalR Real-Time Hubs Setup & JWT Authorization,Configure SignalR Hubs with JWT Bearer query token authorization,Critical,Done,taska-api,Real-Time SignalR Hubs Infrastructure,EPC-05,signalr websocket,Initializes SignalR endpoints; verifies JWT on handshakes; manages client groups,
Task,In-Order Live Chat between Resident and Technician,Provide real-time messaging interface within active orders via SignalR OrderHub,High,Done,taska-api taska-resident taska-technician,Real-Time SignalR Hubs Infrastructure,EPC-05,chat messaging,Restricts messaging to order participants; broadcasts ChatMessage,TSK-501
Task,Automated Invoice Generation & Payment Simulation,Generate payment records on completion and support Cash and Visa payment flows,High,In Progress,taska-api taska-resident admin-react,Billing Simulated Payments & Rating Engine,EPC-06,billing payment,Generates transaction IDs; handles simulated payment success and failure,TSK-403
Task,Customer Satisfaction 5-Star Rating & Review Engine,Allow residents to submit 1-5 star ratings and recalculate technician overall average,Medium,Done,taska-api taska-resident admin-react,Billing Simulated Payments & Rating Engine,EPC-06,rating review,Enforces 1-5 star range; recalculates technician average rating,TSK-601
Task,Executive KPI Operations Dashboard,Build administrative dashboard showing real-time counters and Recharts analytics,High,Done,admin-react taska-api,Admin Operations Console & Kanban Dispatch,EPC-07,admin dashboard kpi,Displays stats cards; listens to WebSocket events; renders revenue and status charts,
Task,Real-Time Drag-and-Drop Orders Kanban Board,Implement live Kanban dispatch board with status lanes and card detail inspection,High,Testing / QA,admin-react,Admin Operations Console & Kanban Dispatch,EPC-07,kanban dispatch,Columns update live over SignalR; supports drag-and-drop state transition,TSK-701|TSK-501
Task,Technician & Resident Directory Management,Provide administration tables to manage technicians and residents across compounds,Medium,Done,admin-react taska-api,Admin Operations Console & Kanban Dispatch,EPC-07,admin directory,Supports search and compound filter; allows technician creation and deletion,
Task,Resident Support Widget & Ticket Creation,Implement floating support chat widget with single open ticket constraint,High,Done,taska-resident taska-api,In-App Customer Support Helpdesk,EPC-08,support widget,Enforces single active ticket per resident; broadcasts TicketCreated over SupportHub,TSK-102
Task,Admin Helpdesk Dispatch Desk & Ticket Resolution,Administrative interface to respond to support tickets and close cases,High,Testing / QA,admin-react taska-api,In-App Customer Support Helpdesk,EPC-08,admin helpdesk,Real-time two-way messaging on SupportHub; resolution rating prompt,TSK-801
