Issue Key,Issue Type,Summary,Epic Link,Component,Priority,Status,Description,Acceptance Criteria,Depends On,Labels
TSK-101,Task,Resident Registration with Compound Code Validation,EPC-01,taska-api / taska-resident,Critical,Done,Implement resident registration requiring Compound Code apartment and phone with 6-digit email OTP generation,Validates compound code; generates 6-digit OTP; sends OTPMail; returns 201 Created,None,auth registration otp
TSK-102,Task,Email OTP Verification & JWT Bearer Token Issuance,EPC-01,taska-api / taska-resident,Critical,Done,Provide 6-digit OTP verification endpoint and client screen returning ASP.NET Core JWT token,Validates OTP expiration; clears OTP fields; issues JWT Bearer token,TSK-101,auth jwt otp
TSK-103,Task,Role-Based JWT Bearer Authentication Architecture,EPC-01,taska-api,Critical,Done,Configure ASP.NET Core JWT Bearer authentication with distinct claims and policies for Residents and Technicians,Enforces Authorize policies; returns 401/403 on unauthorized access,None,auth jwt rbac
TSK-104,Task,Technician Multi-Identifier Login,EPC-01,taska-api / taska-technician,High,Done,Allow technicians to login via either registered phone number or email with password,Validates phone or email against database; issues technician JWT token,TSK-103,auth technician login
TSK-201,Task,Residential Compound Database Schema & Management CRUD,EPC-02,taska-api / admin-react,High,Done,Create compounds table and admin interface to manage gated community entities,Enforces unique compound code; provides full CRUD operations in admin,None,database compound admin
TSK-202,Task,Service Categories Catalog & Dynamic Base Pricing,EPC-02,taska-api / admin-react,High,Done,Implement service_categories table with base pricing icons and sort order,Returns categories ordered by sort_order; allows admin to modify base price and icon,None,catalog categories pricing
TSK-301,Task,Maintenance Request Submission with Photo Upload & Geolocation,EPC-03,taska-api / taska-resident,Critical,Done,Allow residents to submit maintenance requests with images coordinates and urgency,Enforces single active order policy; saves image; emits NewOrderEvent over SignalR,TSK-102|TSK-202,order request upload geolocation
TSK-302,Task,Technician Reverse Bidding Marketplace,EPC-03,taska-api / taska-technician,Critical,Done,Allow online compound technicians to place monetary bids with notes on pending orders,Enforces unique technician bid per order; emits NewBidEvent over SignalR,TSK-301,bidding marketplace technician
TSK-303,Task,Bid Acceptance & Automatic Competitor Dismissal,EPC-03,taska-api / taska-resident,Critical,Done,Resident accepts a technician bid updating order status to accepted and rejecting other bids,Atomic EF Core transaction; marks other bids rejected; emits OrderAcceptedEvent,TSK-302,bid acceptance order
TSK-304,Task,Order Cancellation Flow with Audit Trail,EPC-03,taska-api / taska-resident,Medium,Testing / QA,Enable residents to cancel orders with recorded cancellation reason in status history,Validates cancellable state; logs cancellation reason; notifies technician,TSK-301,order cancellation audit
TSK-401,Task,Technician Online/Offline Duty Status Toggle,EPC-04,taska-api / taska-technician,High,Done,Implement duty status switch to control technician dispatch availability,Toggles status between online and offline; filters compound broadcast recipients,TSK-104,duty status toggle
